Number,Response Date,Response Text
44,"Apr 11, 2017 11:58 AM",Nothing
45,"Apr 11, 2017 10:32 AM",N/A
46,"Apr 11, 2017 7:57 AM","I find the layout a little difficult to navigate, other than that I think its brilliant"
47,"Apr 11, 2017 5:32 AM","at the mement, nothing I can see"
48,"Apr 11, 2017 2:58 AM",Still to see.
49,"Apr 11, 2017 2:36 AM",nothing that I can recommend at this time 
50,"Apr 10, 2017 10:33 PM","educate more with articles, etc."
51,"Apr 10, 2017 7:42 PM",i will tell when i find out
52,"Apr 10, 2017 7:00 PM",Links to consultants or other resources to help spring theory into action.
53,"Apr 10, 2017 5:24 PM",Videos! There is a scarcity of culturally sensitive videos on how to facilitate 'charlas' led by promotores de salud. Videos are great interactive tools.
54,"Apr 10, 2017 4:05 PM",I am still pretty new to it and so can't think of anything at this time.
55,"Apr 10, 2017 3:52 PM",nothing
56,"Apr 10, 2017 2:17 PM","As of now, nothing."
57,"Apr 10, 2017 12:46 PM",More pictures
58,"Apr 10, 2017 1:10 AM",happy with it
59,"Apr 9, 2017 11:59 PM",Just keep up the good work!
60,"Apr 9, 2017 7:05 PM",Not sure. Pretty clear to me.
61,"Apr 9, 2017 3:01 PM",hard to improve this!
62,"Apr 9, 2017 5:58 AM",Offline content and an application
63,"Apr 8, 2017 9:59 PM",Make more concise
64,"Apr 8, 2017 8:39 PM","I think I'm able to find the TOC, which is what I wanted to do after I saw how helpful the info on posters was."
65,"Apr 8, 2017 5:34 PM",Nothing really
66,"Apr 8, 2017 5:24 PM",strategic plan
67,"Apr 8, 2017 5:17 PM",None. It's organised that even a clueless person like myself can make sense of VMOSA! 
68,"Apr 8, 2017 2:02 PM","Give more case studies, templates etc"
69,"Apr 8, 2017 6:54 AM",learned some useful tips
70,"Apr 8, 2017 12:47 AM","nothing, it'a very comprehensive"
71,"Apr 7, 2017 7:42 PM","I think that I haven't used it enough, so until at moment I couldn't give you a feedback."
72,"Apr 7, 2017 6:55 PM",remove redundancy
73,"Apr 7, 2017 4:42 PM",More people aware of the fantastic tools you provide!
74,"Apr 7, 2017 8:25 AM",more experiences
75,"Apr 6, 2017 9:59 PM",NO COMMENT FOR NOW
76,"Apr 6, 2017 9:56 PM","It is quite good! If I had to answer, I wonder if there could be some kind of assessment quiz/tool that people could use to direct them to relevant information. There's a lot of great information, but it is a LOT of information. It might be overwhelming to people who aren't sure what to look/browse for. "
77,"Apr 6, 2017 9:24 PM",no 
78,"Apr 6, 2017 6:57 PM",videos
79,"Apr 6, 2017 4:20 PM",not sure at this time
80,"Apr 6, 2017 4:16 PM",No recommendations
81,"Apr 6, 2017 1:31 PM","I can't think of anything, it is a wonderful resource. "
82,"Apr 6, 2017 11:39 AM",not sure 
83,"Apr 6, 2017 9:53 AM",At this stage I am still discovering - wouldn't change anything
84,"Apr 6, 2017 2:09 AM","Right now it's easy to navigate, it's readily available for anyone wishing to use it. Nothing at the moment."
85,"Apr 6, 2017 1:36 AM",unsure
86,"Apr 5, 2017 11:16 PM",Can't thin of any improvements
87,"Apr 5, 2017 8:20 PM",How..?  Well maybe better navigation and ability to license and use for community NFP groups.  xAPI backend so content is available inside firewals.
88,"Apr 5, 2017 8:17 PM",Don't know.
89,"Apr 5, 2017 5:05 PM","I just started browsing your website, I would like a little more time before asked to participate in a survey."
90,"Apr 5, 2017 1:44 PM",The ppt's. Also more on how to use social media.
91,"Apr 5, 2017 1:26 PM",I will think if the Tool Box can be put into a book so we have it handy it would be very great
92,"Apr 5, 2017 1:05 PM",Just more info
93,"Apr 5, 2017 9:36 AM",Content showing
94,"Apr 5, 2017 7:51 AM",So far so good.
95,"Apr 5, 2017 5:48 AM","don't have suggestions, I have been pleased with what I have seen"
96,"Apr 5, 2017 4:50 AM","the understanding the situation, and making workshop to addresses the problem, and come together is unity, and empowerment"
97,"Apr 5, 2017 3:13 AM",The imagen
98,"Apr 5, 2017 2:23 AM",-
99,"Apr 5, 2017 2:22 AM",looks good
100,"Apr 4, 2017 9:18 PM","I like to print the materials since they are needed for class assignments, such as discussion boards.  However, when I try to print there is often a hyperlink embedded into the material which creates distraction and is not aesthetically pleasing.  Please fix that!"
101,"Apr 4, 2017 8:02 PM",I love it and find it incredibly useful as .
102,"Apr 4, 2017 7:48 PM",Too early for me to comment
103,"Apr 4, 2017 7:17 PM",Possibly questions to maybe ask people about their self awareness... 
104,"Apr 4, 2017 7:10 PM",not sure yet.  
105,"Apr 4, 2017 6:43 PM","I can't think of a thing! I have only begun to explore what is here, and I keep finding nothing but useful and easily accessible information."
106,"Apr 4, 2017 6:15 PM",I am a community water fluoridation coordinator. It would be great to be able to network with citizens that are concerned about the cessation of fluoridation in their community.
107,"Apr 4, 2017 5:55 PM",n/a
108,"Apr 4, 2017 3:02 PM",I'm impressed with the content. It will be of great validity for various purposes.
109,"Apr 4, 2017 11:57 AM",Have downloadable versions of the materials easy to use vs many small sections. 
110,"Apr 4, 2017 6:25 AM",not applicable
111,"Apr 4, 2017 6:04 AM",Inviting feedback is a excellent means if getting information for improvement
112,"Apr 3, 2017 11:13 PM",Not sure.  Looks great as is...
113,"Apr 3, 2017 9:41 PM",Better survey tools
114,"Apr 3, 2017 7:35 PM",More up-to-date information
115,"Apr 3, 2017 7:06 PM",More information regarding empirical backing and research that supports the efficacy of certain strategies.
116,"Apr 3, 2017 7:00 PM",Templates in Word and examples in PDF
117,"Apr 3, 2017 2:19 PM",More examples would be beneficial as well as video modules or tutorials.
118,"Apr 3, 2017 9:22 AM",Nothing that i have seen
119,"Apr 3, 2017 8:26 AM","just started using it , not very sure"
120,"Apr 3, 2017 6:57 AM","visuals , videos"
121,"Apr 3, 2017 3:30 AM",pdf documents and timelines
122,"Apr 2, 2017 9:55 PM",More examples of independent success.
123,"Apr 2, 2017 5:25 PM",update some of the research and citations to your background content. 
124,"Apr 2, 2017 3:26 PM",Be able to download from the internet/website each section that can be saved to a computer.  Perhaps download in a PDF format.
125,"Apr 2, 2017 8:36 AM","No desired improvements but if additions are being explored, I suggest webinars, training videos (archived and easily accessible on possibly a Youtube account) and CEU offerings."
126,"Apr 2, 2017 6:05 AM",make the public more aware
127,"Apr 2, 2017 12:32 AM", For me nothing for now
128,"Apr 1, 2017 8:46 PM",layout
129,"Apr 1, 2017 8:13 PM",Events
130,"Apr 1, 2017 6:29 PM",expand it.
131,"Apr 1, 2017 1:01 PM",I like it the way it is.
132,"Apr 1, 2017 9:14 AM","A classification of examples based on sectors- health, education, etc "
133,"Apr 1, 2017 9:13 AM",To share Materials in other languages 
134,"Apr 1, 2017 7:55 AM",not used before
135,"Mar 31, 2017 7:04 PM",Keywords & concepts included by (or in) summaries to provide a comprehensive snapshot for those that dont have time to read entire sections.
136,"Mar 31, 2017 6:19 PM",Don´t know
137,"Mar 31, 2017 1:30 PM",Some of the sections seem really out of date with current practices.
138,"Mar 31, 2017 1:14 PM",This is my first time using it
139,"Mar 31, 2017 12:19 PM","At the moment, I do not have a comment on improvement. But you can give examples (including reports) on ""best practices"" in each area."
140,"Mar 31, 2017 3:39 AM",N/A
141,"Mar 31, 2017 3:38 AM",It would be great if there were an option to have each section read out loud. 
142,"Mar 31, 2017 3:35 AM",Can't say.  There is too much information to evaluate
143,"Mar 30, 2017 8:47 PM",I have not yet completed a review of your material
144,"Mar 30, 2017 7:57 PM",looks good
145,"Mar 30, 2017 4:48 PM","The toolbox is exceptionally informative and at this moment, I am unable to think of one improvement. "
146,"Mar 30, 2017 2:58 PM",Notes within the slide templates would allow for quicker application on short notice. 
147,"Mar 30, 2017 2:49 PM",Not sure
148,"Mar 30, 2017 2:45 PM",I would look to expand it to worker organizations that are not labor unions. like worker centers which engage in labor and community organizing not just advocacy
149,"Mar 30, 2017 2:32 PM",None
150,"Mar 30, 2017 1:26 PM","Print views, saving sections to pdfs for offline access"
151,"Mar 30, 2017 12:07 PM",multimedia tools
152,"Mar 30, 2017 9:54 AM",Examples!
153,"Mar 30, 2017 5:22 AM",community meetings
154,"Mar 30, 2017 3:12 AM",not sure
155,"Mar 29, 2017 9:27 PM",Just keep preparing new toolkits!
156,"Mar 29, 2017 7:35 PM",to include webinars with the topics. 
157,"Mar 29, 2017 6:19 PM","Additional information on starting a nonprofit program, such as the steps, A-Z."
158,"Mar 29, 2017 6:10 PM",it is perfect to me 
159,"Mar 29, 2017 6:07 PM","Really hard to say as everything is laid out well and easily navigable.
"
160,"Mar 29, 2017 4:59 PM",No improvement needed.
161,"Mar 29, 2017 4:18 PM",nothing
162,"Mar 29, 2017 3:05 PM",More video presentations of the material I can use in class with my students
163,"Mar 29, 2017 2:42 PM",Maybe some more and diverse examples.
164,"Mar 29, 2017 2:23 PM",No suggestions at this time.
165,"Mar 29, 2017 1:55 PM",Explain how I can share with you PwrPts my clients have developed showing how they measure success. 
166,"Mar 29, 2017 12:42 PM","I would like to see tools that are more specific to outreach. I know that there are some here but each community is different and effective methods of conducting outreach vary. Furthermore, I've had a lot of trouble identifying 'best practices' for outreach related to domestic violence and would like to see more topic specific resources. There are a few - which I appreciate, but more would help. "
167,"Mar 29, 2017 12:38 PM",not sure  - great site as is
168,"Mar 29, 2017 11:37 AM",To reach out to the hard to reach out areas in terms of health services.
169,"Mar 29, 2017 9:26 AM",More case studies from people using the Community Toolbox
170,"Mar 29, 2017 3:24 AM",Nothing at this time
171,"Mar 29, 2017 2:08 AM","Although it may exist, and o just haven't seen it, I think a section giving the basic of navigating politics would be useful, as several organizations will need to navigate some type of political organization at some point. "
172,"Mar 29, 2017 1:48 AM",Make it a part of Unified Conceptual Space / Collective Memory
173,"Mar 28, 2017 10:20 PM","* easier to find what I am after
* some of the content is dated"
174,"Mar 28, 2017 10:05 PM",Include a section on best practices - methods and tools; case studies of how tools have been used.
175,"Mar 28, 2017 9:44 PM","There is a lot of overlap in the topics, I'm not sure anything could be done though as so many components work hand in hand"
176,"Mar 28, 2017 9:28 PM",?
177,"Mar 28, 2017 9:24 PM","Perhaps they exist, and I've not run across them, but a bank of case studies and narratives about community mobilization would be very useful."
178,"Mar 28, 2017 9:01 PM",can think of none at this time
179,"Mar 28, 2017 8:14 PM",Include more from overseas communities
180,"Mar 28, 2017 7:54 PM","the continued support, if needed from the resourses provided on sight to stay avalable.  More advocating for the need of this tool box in communities."
181,"Mar 28, 2017 7:41 PM",More guidance with the available resources
182,"Mar 28, 2017 7:07 PM",I have written a series of one-page community information sheets.  If you had these then the tool box would be better.
183,"Mar 28, 2017 7:05 PM",I really can't think of anything right now except to tell more people about it so they can use it.
184,"Mar 28, 2017 6:39 PM",NA
185,"Mar 28, 2017 6:17 PM",More activities! I want to use more of the resources in my college classroom.
186,"Mar 28, 2017 5:49 PM",Just keep doing what you're doing... and providing this amazing tool for the community at large.
187,"Mar 28, 2017 5:45 PM",update some information.  Find the powerpoint slides useful for presentations
188,"Mar 28, 2017 5:39 PM",Including measures for each of the best practices and lists of more recent citations. 
189,"Mar 28, 2017 5:31 PM","To improve the community Tool box is to open lingages,with africa zambia our unity in Love non profit. "
190,"Mar 28, 2017 5:05 PM",some issues
191,"Mar 28, 2017 5:03 PM","I think sometimes it becomes overwhelming to dig into a specific topic, because it's almost like you go through an endless black hole of resources, by clicking on so many links, that you eventually lose track of what you were there for to begin with.  "
192,"Mar 28, 2017 5:02 PM","Now, CTB seems to be geared more to use by community groups rather than health providers. Sometimes their needs are a little different, wonder how you work with this population. course "
193,"Mar 28, 2017 4:59 PM",It works well for me as is.
194,"Mar 28, 2017 4:58 PM",Advertise testimony of how/why it was used and how/why it was helpful. Make a YouTube channel.
195,"Mar 28, 2017 4:42 PM",I have found the community tool box very helpful and easy to use.  
196,"Mar 28, 2017 4:39 PM","A self-guide for accessing basic resources, something along the lines of a FAQ.  Not that this would take the place of advisors, but at least it might give folks visiting the site a place to start.  Something to the effect: If you need to learn about evaluation, do this, this, and this, or if you need to learn how to celebrate a community event do this, this, and this.  Maybe it would be more work than it's worth in the long-run, but at some point we're going to run out of advisors and it would be empowering if users could access what they need without external guidance, think self-driving car.  On the other hand, I really enjoyed being an advisor as it gave me better insight into what people need to know to better their community work.  I'd be willing to help sort this out if anyone is interested in beginning a dialogue; we do have the technology."
197,"Mar 28, 2017 4:38 PM",The design is painful. Button links that include sentences of text can not be the most engaging way to deliver this material. Engage a graphic consultant.
198,"Mar 28, 2017 4:30 PM",its ok for me
