Number,Response_Date,Response_Text
80,"Apr 10, 2017 7:00 PM",Increasing prior understanding and challenging my own misconceptions. 
81,"Apr 10, 2017 6:01 PM",great flow and examples 
82,"Apr 10, 2017 5:24 PM",I have found especially helpful Chapter 16-Facilitation.
83,"Apr 10, 2017 4:05 PM",I really like how it is organized; makes it easy to figure out what you need.
84,"Apr 10, 2017 3:52 PM",guidelines provided
85,"Apr 10, 2017 2:17 PM",This is the best. The name is par excellence.
86,"Apr 10, 2017 12:46 PM",Wide range of topics covered
87,"Apr 10, 2017 12:38 PM","Civic leadership, business entrepreneurship, human right and public management"
88,"Apr 10, 2017 1:10 AM",detailed and practical info
89,"Apr 9, 2017 11:59 PM",How easy it is to access and the WEALTH of information available! Also the hope and direction toward social action.
90,"Apr 9, 2017 9:28 PM",The information and all the tools.
91,"Apr 9, 2017 7:05 PM",The examples
92,"Apr 9, 2017 3:01 PM","Concise step by step info, enough background to make meaningful vision statement , etc"
93,"Apr 9, 2017 5:58 AM",Ease of Use and Being concise 
94,"Apr 8, 2017 9:59 PM","Clear instructions, materials already prepared that I can use in teaching"
95,"Apr 8, 2017 8:39 PM",Just found Chapter 6 by doing a google search.
96,"Apr 8, 2017 5:34 PM",The breadth of resources
97,"Apr 8, 2017 5:24 PM",good examples
98,"Apr 8, 2017 5:17 PM",The examples. 
99,"Apr 8, 2017 2:51 PM",The power point instruction on the process
100,"Apr 8, 2017 2:02 PM",step by step
101,"Apr 8, 2017 6:54 AM",applicable and useful
102,"Apr 8, 2017 12:47 AM","Great reference, heaps of information"
103,"Apr 7, 2017 9:20 PM",Accessibility
104,"Apr 7, 2017 8:23 PM","Straightforward, easy to understand, transferrable to real life "
105,"Apr 7, 2017 7:42 PM","Today I knew you! So, at first a review about the content seem completly enough. "
106,"Apr 7, 2017 6:55 PM","concrete examples, applications"
107,"Apr 7, 2017 4:42 PM",Examples and information about the most effective ways to organize and make our voices heard
108,"Apr 7, 2017 4:20 PM",Examples and descriptions are given in clear language.
109,"Apr 7, 2017 8:25 AM",Useful examples to apply in my town
110,"Apr 6, 2017 9:59 PM",LEARNING ABOUT THE GRANT PROCESS
111,"Apr 6, 2017 9:56 PM","Examples, Toolkits"
112,"Apr 6, 2017 9:37 PM","How I can start a proyect for helping my community
"
113,"Apr 6, 2017 9:24 PM",easy to use and understand 
114,"Apr 6, 2017 6:57 PM",teaches you how to organize and structure your organisation
115,"Apr 6, 2017 5:34 PM",There are good ideas for reaching hard-to-reach populations.
116,"Apr 6, 2017 4:20 PM",A wealth of helpful instructional information that educates and guides one through needs assessment process
117,"Apr 6, 2017 4:16 PM",Comprehensive information with examples and connection to resources.
118,"Apr 6, 2017 1:31 PM","There is so much information, and it is a reputable source."
119,"Apr 6, 2017 11:39 AM", not sure yet 
120,"Apr 6, 2017 9:53 AM",Information relevant to our industry
121,"Apr 6, 2017 3:26 AM",Everything is lined up in such a way that it is easy to access while given you guidance to accomplish your goals 
122,"Apr 6, 2017 2:09 AM",The depth of information and good examples given to further understanding.
123,"Apr 6, 2017 1:36 AM",first visit
124,"Apr 5, 2017 11:16 PM","Easy to read, well-laid out, ability to drill down into detail on each topic."
125,"Apr 5, 2017 8:20 PM",Short and sharp content. very precise
126,"Apr 5, 2017 8:17 PM",Comprhensiveness.
127,"Apr 5, 2017 7:34 PM",The detailed explanations in familiar language
128,"Apr 5, 2017 5:05 PM","I just started browsing your website, I would like a little more time before asked to participate in a survey."
129,"Apr 5, 2017 4:52 PM",A wealth of information on program planning and specific tools to assist new group formation
130,"Apr 5, 2017 1:44 PM",Everything!
131,"Apr 5, 2017 1:26 PM",Everything with the Community Tool Box is very useful. I find nothing not useful
132,"Apr 5, 2017 1:05 PM",Easy to use
133,"Apr 5, 2017 1:02 PM","Layout, examples, multiple resources for different perspectives, templates"
134,"Apr 5, 2017 9:36 AM",Just started using it - at the moment it's not showing any detail / may be incompatible with my organisation's IT
135,"Apr 5, 2017 7:51 AM","Well organized thoughts, descriptive, clear."
136,"Apr 5, 2017 5:48 AM",real examples
137,"Apr 5, 2017 5:17 AM","Easy to find and use tools, concise, good examples, relevant topics"
138,"Apr 5, 2017 4:50 AM","community toolbox are useful,for approaches to solved the problem by raising awerness,and mobilising the community development, for their welfare's"
139,"Apr 5, 2017 2:23 AM",Clarity and simplicity of issues presented
140,"Apr 5, 2017 2:22 AM",different idea help me brian storm
141,"Apr 4, 2017 9:37 PM",That such detailed and broad information is available and for free
142,"Apr 4, 2017 8:52 PM",step by step instrucitons
143,"Apr 4, 2017 8:02 PM","Comprehensive, clear, easy-to-understand guidance on doing effective community work!  Such a wealth of topics available!"
144,"Apr 4, 2017 7:48 PM",This is the 1st time I visited
145,"Apr 4, 2017 7:17 PM",I found the information to be fascinating.  What was most useful were the practical understandings conveyed within the writing.  It appears I would be able to utilize the information to support possible workshops or coursework. 
146,"Apr 4, 2017 7:10 PM",common sense approach and instructions to handle a task
147,"Apr 4, 2017 6:52 PM",Practical tools that can my used by community members
148,"Apr 4, 2017 6:43 PM","I appreciate the Table of Contents that quickly directs us to very specific topics with a wealth of well-written, detailed, relevant information about that topic."
149,"Apr 4, 2017 6:15 PM",Steps for taking action in an anti-fluoridation situation
150,"Apr 4, 2017 5:55 PM",Everything
151,"Apr 4, 2017 5:43 PM",All of the information is good knowledge. 
152,"Apr 4, 2017 4:34 PM","Everything, the power points are great. It has helped me so much that it is in spanish"
153,"Apr 4, 2017 3:02 PM",It is still premature for me to give this answer.
154,"Apr 4, 2017 11:57 AM",Detailed but easy to understand information. 
155,"Apr 4, 2017 6:25 AM",the whole of it
156,"Apr 4, 2017 6:04 AM",The information provided is sound and accessible even to low budget users
157,"Apr 3, 2017 11:44 PM",Large areas of applicabilitypossibly for a grant shaping
158,"Apr 3, 2017 11:41 PM","Organized, sample questions for discussion, examples for applied learning"
159,"Apr 3, 2017 11:13 PM","It is succinct, clear, and useful for many populations"
160,"Apr 3, 2017 9:41 PM",The problem here is like all others: the survey starts before you complete the reading of the info.
161,"Apr 3, 2017 7:35 PM",Good general information
162,"Apr 3, 2017 7:06 PM",Concrete strategies and recommendations for implementation.
163,"Apr 3, 2017 7:00 PM",Divided into sections
164,"Apr 3, 2017 2:19 PM",The information provided is very detailed and thorough.
165,"Apr 3, 2017 12:09 PM",It gives guidance to community activist
166,"Apr 3, 2017 9:22 AM",Updated and useful Tools
167,"Apr 3, 2017 8:26 AM",varied information for my assignments 
168,"Apr 3, 2017 6:57 AM","comprehensive coverage; very accessible including in the style of writing, the way topics are organized........"
169,"Apr 3, 2017 3:30 AM",all of it
170,"Apr 3, 2017 2:39 AM","not helping 
"
171,"Apr 3, 2017 12:31 AM",Providing Training 
172,"Apr 2, 2017 9:55 PM","Topics, links
Examplea articles"
173,"Apr 2, 2017 8:05 PM",Everything!
174,"Apr 2, 2017 6:41 PM","Resource information, examples of action taken"
175,"Apr 2, 2017 5:25 PM","East access. Detailed content with background, tools, checklist, resources. "
176,"Apr 2, 2017 3:26 PM",The large volume of information and the extensive number of suggestions.
177,"Apr 2, 2017 8:36 AM","Ease of use, examples and direct instructions (use of plain language)."
178,"Apr 2, 2017 6:05 AM",the lessons and their professional quality.
179,"Apr 2, 2017 12:32 AM",All of it are useful
180,"Apr 1, 2017 8:46 PM",answer questions I have
181,"Apr 1, 2017 8:13 PM",Education
182,"Apr 1, 2017 6:29 PM","The community toolbox provides concise, tangible guidance. Most other sites give vague suggestions. CTB offers checklists, dialogues, and exercises that make me more confident as an organizer and trainer."
183,"Apr 1, 2017 1:01 PM",Well organized
184,"Apr 1, 2017 11:48 AM",making the complex more simple to understand
185,"Apr 1, 2017 9:14 AM","The content is well organized. The provision of additional resources ( esp. online) . Availability of examples, tools, powerpoint for ease of reference and learning.  "
186,"Apr 1, 2017 9:13 AM",I can get guiarlo es for best practices in community work 
187,"Apr 1, 2017 7:55 AM",it is inclusive
188,"Mar 31, 2017 10:12 PM",I find so much useful information in the chapter sections.
189,"Mar 31, 2017 7:04 PM","The community toolbox provides information that is not found in a standard textbook, instead of learning about the theories, it teaches how to actively use them in order to enact change. "
190,"Mar 31, 2017 6:19 PM",Get in touch with other authors
191,"Mar 31, 2017 1:30 PM",The examples where I can learn how others are implementing the tools
192,"Mar 31, 2017 1:14 PM",This is my first time using it
193,"Mar 31, 2017 12:19 PM",The systematic and elaborate detals of strategies and plans
194,"Mar 31, 2017 6:31 AM","everything, good examples "
195,"Mar 31, 2017 3:57 AM","comprehensive, generic, right amount of practical info"
196,"Mar 31, 2017 3:39 AM",It is structured in its organization
197,"Mar 31, 2017 3:38 AM","All of the information is so well organized, easy to understand, and relatable. "
198,"Mar 31, 2017 3:35 AM",vast amount of information
199,"Mar 30, 2017 8:47 PM",Still under review at this time
200,"Mar 30, 2017 5:31 PM",The explanations and steps to completing the process
201,"Mar 30, 2017 4:48 PM",Very! It's one of the most informative and direct tool kits for capacity building that I have ever come across!
202,"Mar 30, 2017 2:58 PM","What I find most useful is the comprehensiveness of the information while at the same time, the clear acknowledgement that perhaps not all who are accessing the information on the site are prevention experts. "
203,"Mar 30, 2017 2:49 PM",Very thorough information. It teaches all steps involved to be successful
204,"Mar 30, 2017 2:45 PM","the examples, training materials and the fact that is a multi-lingual page"
205,"Mar 30, 2017 2:32 PM",Obtain skills to guide us in making our own vision/mission/objective and action plans
206,"Mar 30, 2017 1:26 PM","Easy to find information, bite sized sections, informal but smart writing"
207,"Mar 30, 2017 12:07 PM",It's easy and well explained
208,"Mar 30, 2017 9:54 AM",The information is available
209,"Mar 30, 2017 5:22 AM",takes individual opinions for better policy making and implementation
210,"Mar 30, 2017 4:58 AM",IT is very well written
211,"Mar 30, 2017 3:12 AM",access to useful information
212,"Mar 30, 2017 12:22 AM","It is comprehensive, user-friendly, visually appealing, and *immensely resourceful*. "
213,"Mar 29, 2017 9:27 PM",Your toolkits
214,"Mar 29, 2017 9:01 PM",I like the easy to follow examples that are given
215,"Mar 29, 2017 7:44 PM","We use information to adapt Tool Box ideas, suggestions and in some cases, problems and solutions to problems to apply the outcomes to the residents of our membership and support them in promoting the community at large."
216,"Mar 29, 2017 7:35 PM",The quality and quantity of subject presented. It was very detailed and informative. 
217,"Mar 29, 2017 6:52 PM","I know it houses a lot of information, but I actually really like that the Community Tool box offers so much information on the needed breadth of topics. Once you figure out the chapter navigation system, it is easy enough to search for the topic area you are looking for."
218,"Mar 29, 2017 6:19 PM",All of the valuable information.
219,"Mar 29, 2017 6:10 PM",wide illustrations 
220,"Mar 29, 2017 6:07 PM",The immense detail contained in the toolbox is staggering. I don't think that there is any other resource like it on the web.
221,"Mar 29, 2017 4:59 PM",Detailed information 
222,"Mar 29, 2017 4:18 PM",clear language
223,"Mar 29, 2017 4:00 PM",great information
224,"Mar 29, 2017 3:24 PM",Combination of examples and  content. And the powerpoints!!
225,"Mar 29, 2017 3:05 PM",Everything!
226,"Mar 29, 2017 2:54 PM",Everything
227,"Mar 29, 2017 2:42 PM",Good definitions and explanations of the concepts for someone who is new.
228,"Mar 29, 2017 2:23 PM","It's plain language, DIY approach."
229,"Mar 29, 2017 1:55 PM","Ideas, tools, concepts "
230,"Mar 29, 2017 12:42 PM","I find the Community Tool Box pretty easy to navigate. I like that it's divided into chapters, and that each chapter provides a simple explanation of what to expect if you were to click on that title. "
231,"Mar 29, 2017 12:38 PM","detailed, clear instructions, examples"
232,"Mar 29, 2017 12:02 PM","Las explicaciones , lecciones. "
233,"Mar 29, 2017 11:37 AM",It explains terms easily.
234,"Mar 29, 2017 9:26 AM",The details information on community matters
235,"Mar 29, 2017 3:24 AM","Besides the training, I find the checklist are very helpful because it keeps me on track. Overall it is an easy read, to the point. "
236,"Mar 29, 2017 2:08 AM","The search feature, and that it cam be used as a reference to provide step by step instructions to new users. "
237,"Mar 29, 2017 1:49 AM","The breadth of perspective!  It's a lot to digest, but worth it."
238,"Mar 28, 2017 10:20 PM",Place to go for how to do community based work often to share with a community partner
239,"Mar 28, 2017 10:05 PM","The array of tools provided for different aspects of collaboration, evaluation, program design, etc."
240,"Mar 28, 2017 9:44 PM",Resources are applicable to many industries
241,"Mar 28, 2017 9:28 PM",The tool kits
242,"Mar 28, 2017 9:24 PM",Accessible; high quality information; comprehensiveness
243,"Mar 28, 2017 9:17 PM",Comprehensive and up-to-date educational materials and tools.
244,"Mar 28, 2017 9:01 PM",the insights
245,"Mar 28, 2017 8:14 PM",Gain knowledge to work in my community. good to reflect on my work practice and broaden my thinking  
246,"Mar 28, 2017 7:54 PM",the logic model
247,"Mar 28, 2017 7:41 PM",The resources and examples
248,"Mar 28, 2017 7:07 PM","Alas, I never thyink of community tool box when I have a community problem.  Could there be a paper edition published on just four topics?"
249,"Mar 28, 2017 7:05 PM",The multiple ways to digest the information.
250,"Mar 28, 2017 6:39 PM",Lots of data in one place.
251,"Mar 28, 2017 6:17 PM",Very user friendly
252,"Mar 28, 2017 5:49 PM",The layout -- you can use each section as its own syllabus or simply search for the piece that you need... 
253,"Mar 28, 2017 5:45 PM",Extensive information on how to do community service effectively.
254,"Mar 28, 2017 5:39 PM","The best practices, check lists. "
255,"Mar 28, 2017 5:31 PM",it will be most useful to partner so that we open a vollunteer center through your support community Tool Box
256,"Mar 28, 2017 5:05 PM",for learning
257,"Mar 28, 2017 5:03 PM",amazing resources 
258,"Mar 28, 2017 5:02 PM","Well documented, clear explanations of practical skills and knowledge, comprehensive overviews, continuously updated."
259,"Mar 28, 2017 4:59 PM","It really is a Tool Box! I can pick and choose the tools I need at any stage of a project, and have clear, concise explanations and worksheets that can easily be modified and shared with volunteers and staff."
260,"Mar 28, 2017 4:58 PM",It's organization
261,"Mar 28, 2017 4:42 PM",I love the easy to use power point slides that I can use when training or giving one on one techincal assistance. 
262,"Mar 28, 2017 4:39 PM",The case examples.
263,"Mar 28, 2017 4:38 PM",Vast array of services.
264,"Mar 28, 2017 4:31 PM",examples and short stories
265,"Mar 28, 2017 4:30 PM",Structure an free avalable
